id,label,name
171,Crop,Castor oil seeds
172,Crop,Cocoa beans
173,Crop,"Coffee, green"
174,Crop,"Kenaf, and other textile bast fibres, raw or retted"
175,Crop,"Mangoes, guavas and mangosteens"
176,Crop,Oil of palm kernel
177,Crop,Oil palm fruit
178,Crop,Palm kernels
179,Crop,Palm oil
180,Crop,"Pig fat, rendered"
181,Crop,Pineapples
182,Crop,"Sisal, raw"
183,Crop,Sweet potatoes
184,Crop,Taro
185,Crop,Yams
186,Crop,Asparagus
187,Crop,Canary seed
188,Crop,Cereals n.e.c.
189,Crop,"Cream, fresh"
190,Crop,"Flax, raw or retted"
191,Crop,Ghee from cow milk
192,Crop,Lupins
193,Crop,Maté leaves
194,Crop,"Meat of asses, fresh or chilled"
195,Crop,"Meat of ducks, fresh or chilled"
196,Crop,"Meat of geese, fresh or chilled"
197,Crop,"Meat of mules, fresh or chilled"
198,Crop,Oil of maize
199,Crop,"Other fibre crops, raw, n.e.c."
200,Crop,"Other oil seeds, n.e.c."
201,Crop,Papayas
202,Crop,"Peppermint, spearmint"
203,Crop,Safflower seed
204,Crop,"Safflower-seed oil, crude"
205,Crop,Skim milk and whey powder
206,Crop,String beans
207,Crop,Tallow
208,Crop,Tea leaves
209,Crop,Tung nuts
210,Crop,"Whey, dry"
211,Crop,Whole milk powder
212,Crop,"Whole milk, condensed"
213,Crop,"Whole milk, evaporated"
214,Crop,Evaporated & Condensed Milk
215,Crop,"Hazelnuts, in shell"
216,Crop,Blueberries
217,Crop,"Cow peas, dry"
218,Crop,Currants
219,Crop,Green corn (maize)
220,Crop,Kiwi fruit
221,Crop,Persimmons
222,Crop,Raspberries
223,Crop,Mixed grain
224,Crop,"Skim milk, condensed"
225,Crop,"True hemp, raw or retted"
226,Crop,"Whey, condensed"
227,Crop,Yoghurt
228,Crop,Cranberries
229,Crop,"Coconuts, in shell"
230,Crop,"Pigeon peas, dry"
231,Crop,Plantains and cooking bananas
232,Crop,Areca nuts
233,Crop,Butter of buffalo milk
234,Crop,Coconut oil
235,Crop,"Coir, raw"
236,Crop,Ghee from buffalo milk
237,Crop,"Ginger, raw"
238,Crop,"Jute, raw or retted"
239,Crop,"Meat of buffalo, fresh or chilled"
240,Crop,Natural rubber in primary forms
241,Crop,Other sugar crops n.e.c.
242,Crop,Buckwheat
243,Crop,Other pome fruits
244,Crop,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh"
245,Crop,Yautia
246,Crop,Fonio
247,Crop,Karite nuts (sheanuts)
248,Crop,Kola nuts
249,Crop,Melonseed
250,Crop,"Pepper (Piper spp.), raw"
251,Crop,"Nutmeg, mace, cardamoms, raw"
252,Crop,Quinoa
253,Crop,"Brazil nuts, in shell"
254,Crop,"Meat of other domestic camelids, fresh or chilled"
255,Crop,"Meat of other domestic rodents, fresh or chilled"
256,Crop,"Pyrethrum, dried flowers"
257,Crop,Chicory roots
258,Crop,Cashewapple
259,Crop,"Ramie, raw or retted"
260,Crop,Cassava leaves
261,Crop,"Bambara beans, dry"
262,Crop,Hempseed
263,Crop,"Skim milk, evaporated"
264,Crop,"Cheese from milk of buffalo, fresh or processed"
265,Crop,"Cinnamon and cinnamon-tree flowers, raw"
266,Crop,"Cloves (whole stems), raw"
267,Crop,"Meat of pigeons and other birds n.e.c., fresh, chilled or frozen"
268,Crop,Tallowtree seeds
269,Crop,"Vanilla, raw"
270,Crop,"Agave fibres, raw, n.e.c."
271,Crop,"Abaca, manila hemp, raw"
272,Crop,"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
273,Crop,Poppy seed
274,Crop,"Kapok fibre, raw"
275,Crop,Kapok fruit
276,Crop,Kapokseed in shell
277,Crop,Gooseberries
278,Crop,Jojoba seeds
279,Region,Afghanistan
280,Region,Albania
281,Region,Algeria
282,Region,Angola
283,Region,Antigua and Barbuda
284,Region,Argentina
285,Region,Armenia
286,Region,Australia
287,Region,Austria
288,Region,Azerbaijan
289,Region,Bahamas
290,Region,Bahrain
291,Region,Bangladesh
292,Region,Barbados
293,Region,Belarus
294,Region,Belgium
295,Region,Belize
296,Region,Benin
297,Region,Bhutan
298,Region,Bolivia (Plurinational State of)
299,Region,Bosnia and Herzegovina
300,Region,Botswana
301,Region,Brazil
302,Region,Brunei Darussalam
303,Region,Bulgaria
304,Region,Burkina Faso
305,Region,Burundi
306,Region,Cabo Verde
307,Region,Cambodia
308,Region,Cameroon
309,Region,Canada
310,Region,Central African Republic
311,Region,Chad
312,Region,Chile
313,Region,China
314,Region,"China, Hong Kong SAR"
315,Region,"China, Macao SAR"
316,Region,"China, mainland"
317,Region,"China, Taiwan Province of"
318,Region,Colombia
319,Region,Comoros
320,Region,Congo
321,Region,Cook Islands
322,Region,Costa Rica
323,Region,Côte d'Ivoire
324,Region,Croatia
325,Region,Cuba
326,Region,Cyprus
327,Region,Czechia
328,Region,Democratic People's Republic of Korea
329,Region,Democratic Republic of the Congo
330,Region,Denmark
331,Region,Djibouti
332,Region,Dominica
333,Region,Dominican Republic
334,Region,Ecuador
335,Region,Egypt
336,Region,El Salvador
337,Region,Equatorial Guinea
338,Region,Eritrea
339,Region,Estonia
340,Region,Eswatini
341,Region,Ethiopia
342,Region,Faroe Islands
343,Region,Fiji
344,Region,Finland
345,Region,France
346,Region,French Polynesia
347,Region,Gabon
348,Region,Gambia
349,Region,Georgia
